# Domain abbreviation expansions (dictionaries.ABBREVIATION_RULES).
# One `pattern;replacement` per line, in application order (longer keys
# first, so `металлоконстр.` is not eaten by `констр.`). `#` comments and
# blank lines ignored.

\bэл\.\s*;электро
\bсварщик\s+эгс\b;электрогазосварщик
\bэгс\b;электрогазосварщик
\bпто\b;производственно-технического отдела
\bсмр\b;строительных и монтажных работ
\bмаш\.;машинист
\bнач\.;начальник
\bмех\.;механического
\bруч\.;ручного
\bметаллоконстр\.;металлоконструкций
\bконстр\.;конструкций
\bсантех\.;санитарно-технических
\bтехнолог\.;технологических
\bавтомоб\.;автомобильного
\bстроит\.;строительных
